Multiplicity,Index,Label,Valid,Distance,LOF,Time,Feasibility
2, 0, 0, True, 1.442830, 1,    0.2455, Optimal
2, 1, 0, True, 1.333165, 1,    0.2603, Optimal
2, 2, 0, True, 1.280766, -1,    0.2536, Optimal
2, 4, 0, True, 0.432242, 1,    0.1815, Optimal
2, 5, 0, True, 1.309137, 1,    0.2986, Optimal
2, 7, 0, True, 1.407189, 1,    0.2615, Optimal
2, 8, 0, True, 1.285416, 1,    0.4379, Optimal
2, 9, 0, True, 0.812966, 1,    0.2976, Optimal
2, 10, 0, True, 0.612758, -1,    0.1299, Optimal
2, 11, 0, True, 1.174109, 1,    0.2819, Optimal
2, 12, 0, True, 1.244662, -1,    0.2202, Optimal
2, 13, 0, True, 0.847123, 1,    0.3338, Optimal
2, 15, 0, True, 1.250109, 1,    0.2664, Optimal
2, 17, 0, True, 0.578632, 1,    0.2060, Optimal
2, 18, 0, True, 0.773967, 1,    0.1837, Optimal
2, 20, 0, True, 0.709342, 1,    0.1852, Optimal
2, 22, 0, True, 0.351460, 1,    0.0947, Optimal
2, 24, 0, True, 0.414048, 1,    0.1180, Optimal
2, 25, 0, True, 0.898542, 1,    0.1918, Optimal
2, 28, 0, True, 1.068973, -1,    0.2123, Optimal
2, 29, 0, True, 1.122120, 1,    0.2391, Optimal
2, 31, 0, True, 0.851304, 1,    0.2986, Optimal
2, 34, 1, True, 0.341458, 1,    0.2894, Optimal
2, 35, 0, True, 1.203121, 1,    0.2979, Optimal
2, 37, 0, True, 0.806625, 1,    0.1860, Optimal
2, 38, 0, True, 0.580499, 1,    0.2421, Optimal
2, 39, 0, True, 0.735710, 1,    0.1909, Optimal
2, 40, 0, True, 1.049958, 1,    0.2530, Optimal
2, 41, 0, True, 1.200596, 1,    0.3034, Optimal
2, 42, 1, True, 0.272747, 1,    0.1703, Optimal
2, 43, 0, True, 1.119270, 1,    0.5799, Optimal
2, 46, 0, True, 1.137039, 1,    0.5743, Optimal
2, 47, 0, True, 1.080448, 1,    0.3045, Optimal
2, 48, 0, True, 0.881396, 1,    0.3785, Optimal
2, 49, 0, True, 0.844760, 1,    0.3186, Optimal
2, 50, 0, True, 1.001328, -1,    0.1956, Optimal
2, 51, 0, True, 0.413111, 1,    0.1166, Optimal
2, 54, 0, True, 0.864470, 1,    0.2458, Optimal
2, 56, 0, True, 1.017973, 1,    0.5984, Optimal
2, 57, 0, True, 0.767238, 1,    0.2511, Optimal
2, 58, 0, True, 1.405050, -1,    0.4222, Optimal
2, 59, 0, True, 1.161290, 1,    0.2855, Optimal
2, 60, 0, True, 0.412095, 1,    0.2030, Optimal
2, 61, 0, True, 0.808345, 1,    0.2786, Optimal
2, 63, 0, True, 0.372516, 1,    0.2388, Optimal
2, 64, 0, True, 1.191471, 1,    0.3248, Optimal
2, 66, 0, True, 0.863266, 1,    0.2259, Optimal
2, 69, 0, True, 0.272875, 1,    0.2065, Optimal
2, 70, 0, True, 1.611780, -1,    0.3512, Optimal
2, 73, 0, True, 0.386636, 1,    0.2528, Optimal
3, 0, 0, True, 1.576395, 1,    0.5986, Optimal
3, 1, 0, True, 1.469589, 1,    0.7492, Optimal
3, 2, 0, True, 1.405414, 1,    0.4683, Optimal
3, 4, 0, True, 0.489071, 1,    0.3734, Optimal
3, 5, 0, True, 1.442196, 1,    0.7002, Optimal
3, 7, 0, True, 1.494306, 1,    0.8825, Optimal
3, 8, 0, True, 1.382286, 1,    0.8022, Optimal
3, 9, 0, True, 0.864703, 1,    0.6308, Optimal
3, 10, 0, True, 0.767878, 1,    0.3859, Optimal
3, 11, 0, True, 1.291662, 1,    0.5494, Optimal
3, 12, 0, True, 1.376744, 1,    0.8328, Optimal
3, 13, 0, True, 1.020349, 1,    0.6813, Optimal
3, 15, 0, True, 1.367562, 1,    0.7100, Optimal
3, 17, 0, True, 0.578632, 1,    0.4138, Optimal
3, 18, 0, True, 0.814353, 1,    0.4909, Optimal
3, 20, 0, True, 0.924275, 1,    0.5193, Optimal
3, 24, 0, True, 0.517157, 1,    0.3407, Optimal
3, 25, 0, True, 0.958235, 1,    0.4047, Optimal
3, 28, 0, True, 1.189929, 1,    0.7711, Optimal
3, 29, 0, True, 1.249426, -1,    0.6349, Optimal
3, 31, 0, True, 1.026787, -1,    0.5060, Optimal
3, 34, 1, True, 0.354975, 1,    1.1020, Optimal
3, 35, 0, True, 1.369895, -1,    1.2329, Optimal
3, 37, 0, True, 0.864408, 1,    0.6230, Optimal
3, 38, 0, True, 0.602569, 1,    0.4599, Optimal
3, 39, 0, True, 0.802351, 1,    0.5836, Optimal
3, 40, 0, True, 1.141043, 1,    1.8523, Optimal
3, 41, 0, True, 1.311900, 1,    0.9496, Optimal
3, 43, 0, True, 1.188776, 1,    0.7263, Optimal
3, 46, 0, True, 1.222176, 1,    1.7139, Optimal
3, 47, 0, True, 1.135801, 1,    0.7177, Optimal
3, 48, 0, True, 0.977953, -1,    0.8417, Optimal
3, 49, 0, True, 0.936793, 1,    0.5018, Optimal
3, 50, 0, True, 1.058853, 1,    0.9285, Optimal
3, 51, 0, True, 0.413111, 1,    0.4949, Optimal
3, 54, 0, True, 0.944347, 1,    0.5772, Optimal
3, 56, 0, True, 1.026324, 1,    0.5031, Optimal
3, 57, 0, True, 0.876735, 1,    0.4931, Optimal
3, 58, 0, True, 1.556566, 1,    0.9246, Optimal
3, 59, 0, True, 1.293013, 1,    0.5783, Optimal
3, 60, 0, True, 0.486398, 1,    0.4027, Optimal
3, 61, 0, True, 0.842962, 1,    0.4061, Optimal
3, 63, 0, True, 0.427541, 1,    0.4152, Optimal
3, 64, 0, True, 1.297723, 1,    0.7404, Optimal
3, 66, 0, True, 0.985950, -1,    0.6370, Optimal
3, 69, 0, True, 0.404098, 1,    0.1837, Optimal
3, 70, 0, True, 1.754613, -1,    0.8043, Optimal
3, 73, 0, True, 0.526319, 1,    0.4106, Optimal
3, 75, 0, True, 1.100059, 1,    0.4949, Optimal
3, 76, 0, True, 1.284560, 1,    1.0915, Optimal
4, 0, 0, True, 1.576395, 1,    2.1808, Optimal
4, 1, 0, True, 1.469589, 1,    0.8785, Optimal
4, 2, 0, True, 1.405414, 1,    1.3995, Optimal
4, 4, 0, True, 0.489071, 1,    0.3818, Optimal
4, 5, 0, True, 1.442196, 1,    1.1544, Optimal
4, 7, 0, True, 1.494306, 1,    1.2527, Optimal
4, 8, 0, True, 1.382286, 1,    0.8178, Optimal
4, 9, 0, True, 0.864703, 1,    0.8648, Optimal
4, 11, 0, True, 1.291662, 1,    2.4230, Optimal
4, 12, 0, True, 1.376744, 1,    1.2623, Optimal
4, 13, 0, True, 1.020349, 1,    0.9618, Optimal
4, 15, 0, True, 1.367562, 1,    2.0526, Optimal
4, 17, 0, True, 0.578632, 1,    0.5428, Optimal
4, 18, 0, True, 0.814353, 1,    0.7760, Optimal
4, 20, 0, True, 0.924275, 1,    1.1736, Optimal
4, 25, 0, True, 0.958235, 1,    0.8848, Optimal
4, 28, 0, True, 1.189929, 1,    0.9831, Optimal
4, 29, 0, True, 1.249426, -1,    1.6880, Optimal
4, 31, 0, True, 1.026787, -1,    1.6091, Optimal
4, 34, 1, True, 0.510442, 1,    0.4768, Optimal
4, 35, 0, True, 1.369895, -1,    1.4330, Optimal
4, 37, 0, True, 0.864408, 1,    0.6001, Optimal
4, 38, 0, True, 0.602569, 1,    0.9562, Optimal
4, 39, 0, True, 0.806303, 1,    0.6699, Optimal
4, 40, 0, True, 1.141043, 1,    1.3133, Optimal
4, 41, 0, True, 1.311900, 1,    1.5580, Optimal
4, 43, 0, True, 1.188776, 1,    2.1734, Optimal
4, 46, 0, True, 1.222176, 1,    1.0067, Optimal
4, 47, 0, True, 1.135801, 1,    0.9352, Optimal
4, 48, 0, True, 0.977953, -1,    0.8683, Optimal
4, 49, 0, True, 0.936793, 1,    3.1056, Optimal
4, 50, 0, True, 1.058853, 1,    1.0410, Optimal
4, 54, 0, True, 0.944347, 1,    2.9650, Optimal
4, 56, 0, True, 1.026324, 1,    0.8024, Optimal
4, 57, 0, True, 0.876735, 1,    1.1754, Optimal
4, 58, 0, True, 1.556566, 1,    1.2781, Optimal
4, 59, 0, True, 1.293013, 1,    0.9003, Optimal
4, 60, 0, True, 0.486398, 1,    0.7059, Optimal
4, 61, 0, True, 0.842962, 1,    0.9547, Optimal
4, 63, 0, True, 0.427541, 1,    0.5828, Optimal
4, 64, 0, True, 1.297723, 1,    2.6977, Optimal
4, 66, 0, True, 0.985950, -1,    1.5360, Optimal
4, 69, 0, True, 0.404098, 1,    0.9270, Optimal
4, 70, 0, True, 1.754613, -1,    1.0642, Optimal
4, 73, 0, True, 0.526319, 1,    0.6679, Optimal
4, 75, 0, True, 1.100059, 1,    0.6157, Optimal
4, 76, 0, True, 1.284560, 1,    0.9782, Optimal
4, 77, 0, True, 1.347822, 1,    1.5318, Optimal
4, 78, 0, True, 1.114049, 1,    1.2266, Optimal
4, 80, 0, True, 1.148605, 1,    0.9861, Optimal
5, 0, 0, True, 1.576395, 1,    1.4038, Optimal
5, 1, 0, True, 1.469589, 1,    1.7685, Optimal
5, 2, 0, True, 1.405414, 1,    1.5673, Optimal
5, 5, 0, True, 1.442196, 1,    2.0837, Optimal
5, 7, 0, True, 1.494306, 1,    2.0867, Optimal
5, 8, 0, True, 1.382286, 1,    1.4492, Optimal
5, 9, 0, True, 0.864703, 1,    0.9361, Optimal
5, 11, 0, True, 1.291662, 1,    1.7975, Optimal
5, 12, 0, True, 1.376744, 1,    4.6747, Optimal
5, 13, 0, True, 1.020349, 1,    0.6511, Optimal
5, 15, 0, True, 1.367562, 1,    1.9893, Optimal
5, 17, 0, True, 0.578632, 1,    0.2710, Optimal
5, 18, 0, True, 0.814353, 1,    0.6569, Optimal
5, 20, 0, True, 0.924275, 1,    1.2719, Optimal
5, 25, 0, True, 0.958235, 1,    0.4630, Optimal
5, 28, 0, True, 1.189929, 1,    1.0679, Optimal
5, 29, 0, True, 1.249426, -1,    1.7830, Optimal
5, 31, 0, True, 1.026787, -1,    1.3502, Optimal
5, 34, 1, True, 0.510442, 1,    0.2876, Optimal
5, 35, 0, True, 1.369895, -1,    2.8280, Optimal
5, 37, 0, True, 0.864408, 1,    0.6305, Optimal
5, 38, 0, True, 0.602569, 1,    0.9612, Optimal
5, 39, 0, True, 0.806303, 1,    0.7556, Optimal
5, 40, 0, True, 1.141043, 1,    1.3773, Optimal
5, 41, 0, True, 1.311900, 1,    0.9702, Optimal
5, 43, 0, True, 1.188776, 1,    1.9984, Optimal
5, 46, 0, True, 1.222176, 1,    0.8963, Optimal
5, 47, 0, True, 1.135801, 1,    0.6583, Optimal
5, 49, 0, True, 0.936793, 1,    0.7726, Optimal
5, 50, 0, True, 1.058853, 1,    0.9998, Optimal
5, 54, 0, True, 0.944347, 1,    2.6836, Optimal
5, 56, 0, True, 1.026324, 1,    1.1679, Optimal
5, 57, 0, True, 0.876735, 1,    0.6972, Optimal
5, 58, 0, True, 1.556566, 1,    1.3765, Optimal
5, 59, 0, True, 1.293013, 1,    1.5885, Optimal
5, 60, 0, True, 0.486398, 1,    0.6251, Optimal
5, 61, 0, True, 0.842962, 1,    0.7814, Optimal
5, 63, 0, True, 0.427541, 1,    0.6165, Optimal
5, 64, 0, True, 1.297723, 1,    4.4207, Optimal
5, 66, 0, True, 0.985950, -1,    1.7998, Optimal
5, 70, 0, True, 1.754613, -1,    0.6499, Optimal
5, 75, 0, True, 1.100059, 1,    0.6483, Optimal
5, 76, 0, True, 1.284560, 1,    1.1003, Optimal
5, 77, 0, True, 1.347822, 1,    0.7243, Optimal
5, 78, 0, True, 1.114049, 1,    0.4284, Optimal
5, 80, 0, True, 1.148605, 1,    0.6030, Optimal
5, 83, 0, True, 1.034019, 1,    0.5145, Optimal
5, 84, 1, True, 0.311729, 1,    0.3744, Optimal
5, 85, 1, True, 0.525537, 1,    0.3827, Optimal
5, 87, 0, True, 1.476509, 1,    0.5266, Optimal
Total time  170.45784219633788 
